小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
天成名都,于都贡江大道东渡江南大道,4室2厅2卫,121㎡,南北,高层(共23层),2018年建造,8182元/㎡,99万,贡江新区 天成名都 超值精装四房 送品牌家具 视野辽阔广告
天成名都,于都贡江大道东渡江南大道,4室2厅2卫,121㎡,南北,高层(共23层),2014年建造,8744元/㎡,105.8万,新区天成名都四房两厅精美装修
天乐花园,于都于都中学红军大道78-3号,3室2厅2卫,120㎡,南北,中层(共7层),2006年建造,5667元/㎡,68万,低价处理  68万精装三房    楼层 配套成熟
天成名都,于都贡江大道东渡江南大道,3室2厅2卫,91.93㎡,南北,低层(共23层),2018年建造,8899元/㎡,81.8万,天成名都 舒适小区好停车 三房精装修 低楼层 南北通透采光好
鑫盛苑,于都红军大道红军大道203号,4室3厅2卫,130㎡,南北,高层(共7层),2004年建造,4508元/㎡,58.6万,鹏泰附近 复试楼带露台 实地看看更满意
嘉德山与城,于都于都中学于山大道,3室2厅2卫,124.93㎡,南北,高层(共7层),2014年建造,5524元/㎡,69万,站前  附近嘉德山与城 带三房两厅 精装修送部分家电69万
佳兴花园,于都于山大道爱莲路372号,3室2厅2卫,124.5㎡,南,中层(共7层),2010年建造,6908元/㎡,86万,佳兴花园小区 三房精装修送车库17平米 采光好
金水湾御景豪园,于都渡江大道渡江大道,3室2厅2卫,104㎡,南,高层(共24层),2016年建造,9424元/㎡,98万,金水湾园林小区中间楼层带车位出售98万
龙江花园,于都红军大道滨江大道,4室2厅2卫,131.14㎡,南,低层(共7层),2007年建造,6558元/㎡,86万,广场明德旁 龙江小区精装四房 带前后露台200平 柴间12平
圣世广场,于都于都中学红军大道,4室2厅2卫,140.64㎡,南北,高层(共30层),2020年建造,7537元/㎡,106万,鹏泰百货 毛胚房 三面采光 4房户型方正 视野开阔
于都天润水云豪苑,于都于都中学渡江大道390号,4室2厅2卫,147㎡,南北,高层(共18层),2010年建造,6735元/㎡,99万,江边小区 全新豪华装修 三面采光 望江景
万达广场 · 泰达城,于都贡江大道东贡江新区贡江大道万达广场,3室2厅2卫,110.38㎡,南,8517元/㎡,94万,万达广场  泰达城  一线江景房推荐新房
于都国资·时代公馆,于都贡江大道东于都大道与振兴大道交汇处,3室2厅2卫,126㎡,南北,5794元/㎡,73万,于都国资时代新城  环境优美 少量房源推荐新房
佳兴花园,于都于山大道爱莲路372号,3室2厅2卫,124.5㎡,南,中层(共7层),2010年建造,6908元/㎡,86万,广场附近 小区 精装三房 带车库 17平  住宅三楼
于都国资·时代公馆,于都贡江大道东于都大道与振兴大道交汇处,3室2厅1卫,102㎡,南北,5785元/㎡,59万,工业园区新房  园林小区电梯房 小区环境优美推荐新房
天成名都,于都贡江大道东渡江南大道,4室2厅2卫,121㎡,南北,高层(共23层),2018年建造,8182元/㎡,99万,贡江新区 天成名都 超值精装四房 送品牌家具 视野辽阔
绿苑居·清华园,于都贡江大道东于都县贡江镇思源大道和利村路交汇处,3室2厅2卫,118㎡,南,7204元/㎡,85万,万达广场附近新房出售  环境优美推荐新房
佳兴花园,于都于山大道爱莲路372号,3室2厅2卫,141.5㎡,南北,中层(共7层),2012年建造,6078元/㎡,86万,急售 佳兴花园 三房精装未入住 三小于中附近  前后通透
中奥天悦铭著(新房),于都于山大道贡江新区振兴大道与大昌路交汇处,3室2厅2卫,108㎡,南,7500元/㎡,81万,贡江新区思源对面 园林式小区电梯洋房送产权车位推荐新房
福龙馨园,于都于山大道于中路5号,4室2厅2卫,122.17㎡,南北,高层(共7层),2005年建造,5959元/㎡,72.8万,福龙馨园附件，4房2厅2卫，售价72.8万
于都国资·时代国风府,于都于山大道思源大道与川江路交汇处,3室2厅2卫,105.32㎡,南北,7691元/㎡,81万,万达广场附件 小区环境优美 周边配套成熟推荐新房
嘉德山与城,于都于都中学于山大道,4室2厅2卫,138㎡,南北,高层(共8层),2016年建造,5058元/㎡,69.8万,降价了 毛坯大四房 火车站附近 站前
