小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
嘉福未来城(兴国县),兴国太平洋广场文明大道,3室2厅2卫,116㎡,南,低层(共33层),2020年建造,6897元/㎡,80万,捡漏！嘉福未来城，毛坯三房，中间楼层广告
云顶公馆,兴国太平洋广场和睦大道,4室2厅2卫,120㎡,南,高层(共32层),2017年建造,10000元/㎡,120万,云顶公馆精装修大四房
金福花园(三四期),兴国太平洋广场将军大道193号,4室2厅2卫,110㎡,南,中层(共17层),2008年建造,8182元/㎡,90万,金福花园好楼层四室两厅两卫仅售90万
锦绣江南(兴国),兴国太平洋广场平川大道228号,3室2厅2卫,140㎡,南北,高层(共7层),2012年建造,4929元/㎡,69万,锦绣江南 商品房 满五   142大三房69W
恺城金都,兴国太平洋广场长冈大道189号,2室2厅1卫,65㎡,南北,高层(共18层),2015年建造,6462元/㎡,42万,红小旁精装两房，捡漏价42万！
嘉福未来城(兴国县),兴国太平洋广场文明大道,3室2厅2卫,116㎡,南,低层(共33层),2020年建造,6897元/㎡,80万,捡漏！嘉福未来城，毛坯三房，中间楼层
兴国嘉福星洲·尚江尊品,兴国太平洋广场滨江东路,3室2厅2卫,121㎡,南,中层(共33层),2020年建造,6934元/㎡,83.9万,一线江景房，尚江尊品，毛坯3房83.9万
博联御府,兴国太平洋广场平川大道,3室2厅2卫,99.5㎡,南北,高层(共30层),2017年建造,7036元/㎡,70万,博联御府  楼层三房两厅两卫，仅售70万
兴国碧桂园,兴国太平洋广场新区大道,4室2厅2卫,128㎡,南北,中层(共32层),2020年建造,6954元/㎡,89万,碧桂园，精装修四房两厅，未入住过
嘉润公园府邸,兴国太平洋广场富平路,3室2厅2卫,102㎡,南,高层(共16层),2020年建造,7353元/㎡,75万,公园  ，近明德和六中，三房69.9万
长海上城,兴国太平洋广场新区大道,3室2厅2卫,108㎡,南北,低层(共18层),2021年建造,5741元/㎡,62万,急售长海上城电梯三房62万！
长海上城,兴国太平洋广场新区大道,3室2厅2卫,117㎡,南,高层(共32层),2021年建造,6753元/㎡,79万,亏本出售！长海上城，精装修未入住，3卧朝南
丹枫龙廷(公寓住宅),兴国太平洋广场平川大道566号,3室2厅1卫,88㎡,南,中层(共15层),2019年建造,6125元/㎡,53.9万,丹枫龙廷三房一口价53万 首负10万
恺城金都,兴国太平洋广场长冈大道189号,3室2厅2卫,109㎡,南北,中层(共18层),2015年建造,7156元/㎡,78万,恺城金都电梯精装三房78万
万象新城,兴国太平洋广场新区大道,4室2厅2卫,117㎡,南,高层(共26层),2017年建造,7265元/㎡,85万,万象新城，精装修4房2厅，带车位，有阳光棚
江湾名都,兴国太平洋广场滨江大道,3室2厅2卫,125㎡,南北,中层(共26层),2016年建造,7120元/㎡,89万,江湾名都，毛坯三房两厅，南北通透
长海上城,兴国太平洋广场新区大道,4室2厅2卫,127㎡,南北,高层(共33层),2022年建造,5906元/㎡,75万,急售长海上城四房带车位75万有性价比
龙居苑(兴国),兴国太平洋广场平川大道127号,4室2厅2卫,136㎡,南,高层(共18层),2014年建造,5295元/㎡,72万,近红小，70多万买电梯4房，视野开阔
红岭佳苑,兴国太平洋广场石灰岭79号,3室2厅2卫,130㎡,南北,高层(共6层),2008年建造,4000元/㎡,52万,红岭佳苑大三房仅售52万 送柴间实验  五中
恺城金都,兴国太平洋广场长冈大道189号,2室2厅1卫,65㎡,南,高层(共18层),2013年建造,6462元/㎡,42万,恺城金都两房42万 另外送一房间可做三房
潋江之春,兴国太平洋广场平川大道101号,3室2厅2卫,120㎡,南北,低层(共7层),2008年建造,5417元/㎡,65万,降价了潋江之春三房带前后露台65万 拎包入住
旺角华庭,兴国太平洋广场平川大道129号,4室2厅2卫,143㎡,南北,高层(共20层),2015年建造,6154元/㎡,88万,旺角华庭精装四房一口价88万带一产权车位
万象新城,兴国太平洋广场新区大道,3室2厅2卫,110㎡,南,高层(共26层),2018年建造,6637元/㎡,73万,万象新城，精装3改四房，拎包入住
潋江大道178号小区,兴国太平洋广场潋江大道178号,4室2厅2卫,200㎡,西北,中层(共6层),2004年建造,4000元/㎡,80万,中心花园旁200平改四房至五房80万
成泰幸福时光一期,兴国太平洋广场平阳路,4室2厅2卫,119㎡,南北,低层(共15层),2016年建造,6387元/㎡,76万,兴国幸福时光四房76万性价比高六中五小
将军大道293号小区,兴国太平洋广场将军大道293号,4室2厅2卫,120㎡,东西,低层(共6层),2005年建造,4834元/㎡,58万,汽车站旁四房58万证件齐全      左右
恺城金都,兴国太平洋广场长冈大道189号,3室2厅2卫,109㎡,南,中层(共18层),2014年建造,7156元/㎡,78万,恺城金都，近红小，精装修3房，拎包入住
吉锦豪庭,兴国太平洋广场红军路80号,3室2厅2卫,142㎡,南北,中层(共7层),2008年建造,4500元/㎡,63.9万,吉锦豪庭三房一口价63.9万拎包入住 送车库
长海云府,兴国太平洋广场平阳路,3室2厅2卫,110㎡,南北,中层(共32层),2019年建造,6910元/㎡,76万,长海云府三房两厅两卫  楼层，仅售76万！
中城模范城,兴国太平洋广场兴国大道268号,5室2厅2卫,124.3㎡,南北,低层(共24层),2013年建造,7402元/㎡,92万,三小三中旁电梯精装五房，捡漏价92万
兴国状元府,兴国太平洋广场模范西大道,4室2厅2卫,128㎡,南北,中层(共18层),2017年建造,6485元/㎡,83万,兴国中学旁  楼层，边户四房两卫捡漏83万！
旺角华庭,兴国太平洋广场平川大道129号,4室2厅2卫,142㎡,南北,中层(共20层),2013年建造,6550元/㎡,93万,旺角华庭精装四房仅售93万
丰禄园,兴国太平洋广场红军路,3室2厅2卫,117㎡,东南,中层(共6层),2003年建造,3847元/㎡,45万,七中旁精装大三房，中间楼层，带柴间45万!
御珑湾,兴国太平洋广场文明大道,4室2厅2卫,111㎡,南北,高层(共29层),2017年建造,8289元/㎡,92万,七小旁中间楼层精装四房，仅售92W
吉锦豪庭,兴国太平洋广场红军路80号,3室2厅2卫,142㎡,南北,中层(共7层),2013年建造,4578元/㎡,65万,吉锦豪庭大三房  楼层带车库65万！
龙居苑(兴国),兴国太平洋广场平川大道127号,4室2厅2卫,138㎡,南北,高层(共18层),2015年建造,5290元/㎡,73万,龙居苑  楼层四房两卫，捡漏价70万！
潋江之春,兴国太平洋广场平川大道101号,3室2厅2卫,128㎡,南北,低层(共7层),2003年建造,5235元/㎡,67万,潋江之春精装大三房，带前后超大露台，仅售67万！
锦绣江南(兴国),兴国太平洋广场平川大道228号,3室2厅2卫,139.67㎡,南北,中层(共7层),2008年建造,5442元/㎡,76万,锦绣江南精装大三房，中间楼层，带大车库，捡漏价76万！
旺角华庭,兴国太平洋广场平川大道129号,3室2厅2卫,129㎡,南北,低层(共20层),2013年建造,6435元/㎡,83万,红小旁精装大三房，九成新，仅售83万！
兴国状元府,兴国太平洋广场模范西大道,4室2厅2卫,128㎡,南北,高层(共23层),2018年建造,6485元/㎡,83万,状元府四房83万南北通透经典户型
将军大道338号小区,兴国太平洋广场将军大道338号,3室2厅2卫,130㎡,南北,高层(共7层),2003年建造,4608元/㎡,59.9万,明德六中对面精装大三房，带柴间59.9万!
潋江之春,兴国太平洋广场平川大道101号,3室2厅1卫,118㎡,东西,高层(共7层),2008年建造,4746元/㎡,56万,潋江之春三房56万小区不需物业费
吉锦豪庭,兴国太平洋广场红军路80号,5室2厅2卫,195㎡,南,高层(共7层),2008年建造,4000元/㎡,78万,吉锦豪庭复式楼五房拎包入住78万有露台
兴国建材家俱综合大市场,兴国太平洋广场将军大道,3室2厅1卫,138㎡,南北,中层(共6层),2003年建造,4276元/㎡,59万,建材市场旁大三房全新装修一口价59万
丰禄园,兴国太平洋广场红军路,3室2厅2卫,134㎡,南北,高层(共7层),2013年建造,4105元/㎡,55万,丰禄园带大车库仅售50万！
华云府邸,兴国太平洋广场银海路298号,3室2厅2卫,114㎡,南,高层(共32层),2020年建造,6930元/㎡,79万,三中三小旁 华云  三房79万大阳台
颐泰兴园·健康城,兴国太平洋广场红军北路东侧,3室2厅2卫,112㎡,南北,6161元/㎡,69万,7.2米超大阳台，干湿分离，四开间朝南推荐新房
兴国建材家俱综合大市场,兴国太平洋广场将军大道,3室2厅1卫,130㎡,南北,中层(共7层),2003年建造,4539元/㎡,59万,二小七中旁精装大三房，  楼层，捡漏价59万！
成泰幸福时光二期,兴国太平洋广场平阳路199号,4室2厅2卫,121㎡,南北,高层(共8层),2014年建造,6199元/㎡,75万,明德六中旁  楼层电梯四房，亏本价70万
嘉福·潋江府,兴国太平洋广场潋江国家湿地公园畔,3室2厅2卫,105㎡,南北,7239元/㎡,76万,嘉福潋江府现房三房，仅售73万推荐新房
城央学府,兴国太平洋广场体育公园旁,4室2厅2卫,124.28㎡,南,5794元/㎡,72万,南北双阳台，小洋房低密度，小区旁就是推荐新房
世茂·翡翠城,兴国太平洋广场和睦大道兴国三中斜对面,3室2厅2卫,113㎡,南北,6815元/㎡,77万,地理位置优越，出行方便，周边配套设施齐全，准现房推荐新房
世茂·翡翠城,兴国太平洋广场和睦大道兴国三中斜对面,3室2厅2卫,103㎡,南北,6797元/㎡,70万,地理位置优越，出行方便，周边配套设施齐全，生活方便推荐新房
城央学府,兴国太平洋广场体育公园旁,4室2厅2卫,124.28㎡,南,5794元/㎡,72万,城央  边套四房，仅售78万推荐新房
世茂·翡翠城,兴国太平洋广场和睦大道兴国三中斜对面,4室2厅2卫,133㎡,南北,6767元/㎡,90万,地理位置优越，出行方便，周边配套设施齐全，准现房推荐新房
颐泰兴园·健康城,兴国太平洋广场红军北路东侧,4室2厅2卫,120㎡,南北,6167元/㎡,74万,全明户型，方形板正，南北通透推荐新房
城央学府,兴国太平洋广场体育公园旁,3室2厅2卫,109㎡,南,5780元/㎡,63万,南北通透三房，利用空间大，公摊低推荐新房
嘉福未来城(兴国县),兴国太平洋广场文明大道,4室2厅2卫,134.26㎡,东,高层(共33层),9683元/㎡,130万,嘉福未来城(兴国县)4室2厅2卫边套高性价比价格可谈诚心出售
兴国嘉福星洲·尚江尊品,兴国太平洋广场滨江东路,3室2厅2卫,121㎡,南,低层(共32层),9918元/㎡,120万,兴国嘉福星洲·尚江尊品3室2厅2卫
世茂·翡翠城,兴国太平洋广场和睦大道兴国三中斜对面,3室2厅2卫,103㎡,南北,6797元/㎡,70万,翡翠城三房两厅两卫，仅售70多万推荐新房
