小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
三科·凌雲台,宁都万润广场凌云大道166号,3室2厅2卫,108㎡,南北,5834元/㎡,63万,单价五千多买 新人民医院旁 东方丽都 奥园广场旁推荐新房
宁都奥园广场,宁都万润广场迎宾大道,3室2厅2卫,118㎡,南,中层(共32层),4916元/㎡,58万,宁都奥园广场3室2厅2卫好楼层诚心出售
清华名府,宁都万润广场广场北路,2室2厅1卫,94.93㎡,南北,中层(共7层),7164元/㎡,68万,清华名府2室2厅1卫
京都豪庭,宁都万润广场登峰大道7号,3室2厅1卫,95㎡,南,高层(共8层),5369元/㎡,51万,京都豪庭3室2厅1卫一车库16年入住，上证95平米左右
翠盈家苑,宁都万润广场博生西路209号,3室2厅2卫,120㎡,南北,低层(共8层),5417元/㎡,65万,翠盈家苑隔壁，宁都县梅江镇三环北路2楼3室2厅2卫120平
红岭小区,宁都万润广场河东路29号,4室2厅2卫,145㎡,北,地下(共4层),5504元/㎡,79.8万,红岭小区4室2厅2卫
富丰家园,宁都万润广场翠岗路,3室2厅1卫,91.54㎡,北,中层(共18层),5026元/㎡,46万,富丰家园3室2厅1卫
东方丽都(B区),宁都万润广场319国道,3室2厅2卫,120.81㎡,南,高层(共16层),9023元/㎡,109万,东方丽都(B区)3室2厅2卫
龙居佳苑,宁都万润广场振兴北路,3室2厅2卫,128㎡,南,共3层,3204元/㎡,41万,龙居佳苑3室2厅2卫
清华名府,宁都万润广场广场北路,2室2厅1卫,94.93㎡,南北,中层(共7层),7164元/㎡,68万,清华名府2室2厅1卫
红山岭小区,宁都万润广场博生西路,3室2厅2卫,148.52㎡,南,高层(共7层),4012元/㎡,59.6万,红山岭小区3室2厅2卫高性价比诚心出售价格可谈好楼层诚心出售
登峰小区,宁都万润广场登峰大道18号,4室2厅2卫,167㎡,西南,高层(共8层),4072元/㎡,68万,出售丨宁都登峰大道4室2厅2卫
