小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
书香苑(安远),"安远坚强广场腾飞路,近欣山大道",3室1厅2卫,126.5㎡,西,中层(共11层),6878元/㎡,87万,书香苑(安远)3室1厅2卫
安远祥光中央公园,安远坚强广场九龙大道,3室2厅2卫,89㎡,南,高层(共31层),6742元/㎡,60万,安远祥光中央公园3室2厅2卫
印刷厂小区(安远),"安远坚强广场九龙路,近和谐路",3室2厅1卫,112㎡,南,共5层,3393元/㎡,38万,印刷厂小区(安远)3室2厅1卫
蔚景华城,安远坚强广场新溪路,3室2厅2卫,118㎡,北,中层(共20层),4238元/㎡,50万,蔚景华城3室2厅2卫
安远日豪花园,安远坚强广场223省道,3室2厅2卫,131.72㎡,南,低层(共7层),4556元/㎡,60万,安远日豪花园3室2厅2卫
国兴汽车博览城(安远),安远坚强广场宁定高速,4室2厅2卫,127㎡,南,中层(共9层),2993元/㎡,38万,急需资金周转！高性价比！好楼层，如果全款，价格还可以谈！！！
幸福哩,"安远坚强广场安康路,近迎宾大道",3室2厅2卫,118.12㎡,南,中层(共12层),2777元/㎡,32.8万,幸福哩3室2厅2卫
百安华庭,安远坚强广场东江源大道,8室2厅2卫,160㎡,南,高层(共7层),3438元/㎡,55万,百安华庭8室2厅2卫
天顺富贵园,安远坚强广场东江源大道,5室3厅4卫,236.26㎡,南北,低层(共8层),5503元/㎡,130万,天顺富贵园5室3厅4卫
天龙小区,安远坚强广场中山路,2室2厅1卫,95㎡,南,共4层,3158元/㎡,30万,天龙小区2室2厅1卫边套高性价比价格可谈诚心出售
国兴汽车博览城(安远),安远坚强广场宁定高速,3室2厅2卫,127㎡,东南,中层(共9层),2993元/㎡,38万,生意失败！急需资金周转！低价出售！价格可谈！高性价比！
国兴汽车博览城(安远),安远坚强广场宁定高速,4室2厅2卫,127㎡,南,中层(共9层),2993元/㎡,38万,生意失败！急需资金周转！低价出售！价格可谈！高性价比！
福满家园,安远坚强广场九龙路296号,3室2厅2卫,125㎡,南北,中层(共7层),4480元/㎡,56万,福满家园3室2厅2卫
国兴汽车博览城(安远),安远坚强广场宁定高速,3室2厅2卫,127㎡,南,中层(共9层),2993元/㎡,38万,生意失败！急需资金周转！低价出售！价格可谈！高性价比！
