小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
恒大悦龙台,开发区紫荆路紫荆路,4室2厅2卫,140㎡,南北,中层(共25层),2020年建造,9643元/㎡,135万,急售亏本卖性价比高低于市场价，大四房精装修未入住，小区环境好广告
嘉福尚江府,开发区东江源大道东江源大道,3室2厅2卫,122㎡,东南,低层(共33层),2021年建造,14837元/㎡,181万,户型方正  嘉福尚江府3房 181万
保利嘉福心语,开发区紫荆路纬一路156号,3室2厅2卫,112.03㎡,南北,低层(共26层),2018年建造,10694元/㎡,119.8万,保利嘉福心语  南北通透 精装修  房东急置换 诚意出售！！
中梁蟠龙府,开发区金岭大道工业二路,4室2厅2卫,129㎡,南,中层(共18层),2019年建造,9830元/㎡,126.8万,急售！开发区明德旁，中梁蟠龙府豪装南北通透四房 全瓷砖上墙
圣地亚哥,开发区金岭大道金岭西路75号,4室2厅2卫,136㎡,南,高层(共33层),2017年建造,10662元/㎡,145万,星洲湾旁 全线江景 电梯 南北通透精装 四房 视野开阔
云星公园华府,开发区东江源大道华鑫路,3室2厅2卫,122㎡,南北,中层(共11层),2021年建造,11148元/㎡,136万,北欧现代装修好漂亮新房，云星品牌漂亮小区，万达广场金凤梅园
中梁蟠龙府,开发区金岭大道工业二路,4室2厅2卫,130㎡,东南,高层(共7层),2018年建造,8616元/㎡,112万,急售，经开区，洋房四房，户型方正采光好，周边配套设施齐全！
铭欣华府,开发区东江源大道文峰北路,3室2厅2卫,132㎡,南北,中层(共11层),2014年建造,8334元/㎡,110万,开发区单价8000精装三房，铭欣华府，水韵嘉城，桃李春天
塞纳春天,开发区东江源大道金星路13号,4室2厅2卫,147㎡,南,高层(共11层),2015年建造,9048元/㎡,133万,笋盘推荐万达对面单价九千豪华装修四房塞纳春天
嘉福尚江府,开发区东江源大道东江源大道,3室2厅2卫,120㎡,南,高层(共33层),2012年建造,13334元/㎡,160万,嘉福尚江府毛坯3室南北通透双阳台全明结构看房方便
金湾爱尚里,开发区东江源大道东江源大道219号,4室2厅2卫,126㎡,南北,低层(共18层),2020年建造,11747元/㎡,148万,捡漏啦 万达旁 正规4房 未入住  急售价148万
恒大悦龙台,开发区紫荆路紫荆路,3室2厅2卫,130㎡,南北,高层(共33层),2021年建造,9462元/㎡,123万,笋盘来袭，强力推荐，南北通透单价只要9500元，捡漏房源！
云星公园华府,开发区东江源大道华鑫路,3室2厅2卫,122㎡,南,低层(共18层),2021年建造,11230元/㎡,137万,万达广场旁云星公园华府豪装大3房，没住过，门口就是金凤梅园
