小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
丽璟佳园,上犹玉龙湾中心文昌路,3室2厅1卫,87.53㎡,南北,高层(共8层),,3428元/㎡,30万,丽璟佳园3室2厅1卫价格可谈诚心出售
丽璟佳园,上犹玉龙湾中心文昌路,3室2厅1卫,87.53㎡,南北,地下(共8层),,3542元/㎡,31万,丽璟佳园3室2厅1卫价格可谈诚心出售
上犹碧桂园,上犹玉龙湾中心S324,3室2厅2卫,120㎡,南,中层(共10层),,7909元/㎡,94.9万,上犹碧桂园3室2厅2卫一梯两户
塞纳左岸,上犹玉龙湾中心文兴路49号,3室2厅2卫,120㎡,南,高层(共7层),,4984元/㎡,59.8万,塞纳左岸3室2厅2卫高性价比价格可谈诚心出售急售，急售！！
银信塞纳河畔,上犹玉龙湾中心水南大道15号,2室1厅1卫,93㎡,南北,低层(共10层),,6323元/㎡,58.8万,高性价比，塞纳河畔全新装修未入住南边通透，价格可谈一梯两户
塞纳左岸,上犹玉龙湾中心文兴路49号,2室2厅1卫,115㎡,南,中层(共7层),,5218元/㎡,60万,塞纳左岸2室2厅1卫
上德艺术国际,上犹玉龙湾中心文峰南路6号,4室2厅2卫,126㎡,南北,高层(共26层),,11032元/㎡,139万,上德艺术国际4室2厅2卫好楼层边套高性价比
上犹县公安局宿舍,上犹玉龙湾中心犹江大道30号,2室1厅1卫,55㎡,南,中层(共6层),2000年建造,5273元/㎡,29万,江弯  二室一厅
塞纳左岸,上犹玉龙湾中心文兴路49号,3室2厅2卫,120㎡,南,高层(共7层),,4984元/㎡,59.8万,塞纳左岸3室2厅2卫高性价比诚心出售，急售价格可谈高性价比
御景山庄,上犹玉龙湾中心御景路9号,1室0厅0卫,27.39㎡,南,低层(共7层),,5806元/㎡,15.9万,御景山庄1室0厅0卫
犹江花园,上犹玉龙湾中心文韬路,3室2厅2卫,141.59㎡,南,高层(共7层),,4450元/㎡,63万,犹江花园3室2厅2卫好楼层边套一梯两户
金都花园,上犹玉龙湾中心备田大道,4室2厅1卫,70㎡,南北,高层(共8层),,5698元/㎡,39.9万,122平四室二厅大客厅多居室，宽敞明亮，露台能植蔬菜价格可谈
文兴阳光花园,上犹玉龙湾中心文兴路,3室2厅1卫,114㎡,东西,中层(共7层),,5088元/㎡,58万,文兴阳光花园3室2厅1卫
税苑小区,上犹玉龙湾中心和平路83号,3室2厅1卫,89.55㎡,南北,低层(共7层),,5361元/㎡,48万,税苑小区3室2厅1卫
龙腾盛世,上犹玉龙湾中心犹江大道,2室2厅1卫,89㎡,南,高层(共9层),,7731元/㎡,68.8万,龙腾盛世2室2厅1卫
犹江花园,上犹玉龙湾中心文韬路,3室3厅2卫,154.7㎡,南,高层(共7层),2000年建造,4448元/㎡,68.8万,犹江花园3室3厅2卫
新上犹路商贸城商住楼,上犹玉龙湾中心新上犹路,4室2厅2卫,131㎡,南,共3层,,7634元/㎡,100万,新上犹路商贸城商住楼2室4厅3卫高性价比诚心出售
天麓裕禧,上犹玉龙湾中心东山大道,3室2厅1卫,90㎡,南,中层(共6层),,6978元/㎡,62.8万,天麓裕禧3室2厅1卫，带车库68.8W，无抵押可随时过户
银信塞纳河畔,上犹玉龙湾中心水南大道15号,2室1厅1卫,98㎡,南北,低层(共11层),,6000元/㎡,58.8万,塞纳河畔2室1厅全新装修未入住，南北通透性价比高，一梯两户
御景山庄,上犹玉龙湾中心御景路9号,1室1厅1卫,32㎡,南,共1层,,6250元/㎡,20万,御景山庄二级广场车库改装1室1厅1卫，精装带阁楼，价格可谈。
黄金苑小区(上犹),上犹玉龙湾中心324省道,3室2厅2卫,122.06㎡,南北,中层(共6层),,4015元/㎡,49万,苑小区(上犹)3室2厅2卫高性价比 价格可谈 诚心出售
天成名都,于都贡江大道东渡江南大道,4室2厅2卫,121㎡,南北,高层(共23层),2018年建造,8182元/㎡,99万,贡江新区 天成名都 超值精装四房 送品牌家具 视野辽阔广告
天成名都,于都贡江大道东渡江南大道,4室2厅2卫,121㎡,南北,高层(共23层),2014年建造,8744元/㎡,105.8万,新区天成名都四房两厅精美装修
天乐花园,于都于都中学红军大道78-3号,3室2厅2卫,120㎡,南北,中层(共7层),2006年建造,5667元/㎡,68万,低价处理  68万精装三房    楼层 配套成熟
天成名都,于都贡江大道东渡江南大道,3室2厅2卫,91.93㎡,南北,低层(共23层),2018年建造,8899元/㎡,81.8万,天成名都 舒适小区好停车 三房精装修 低楼层 南北通透采光好
鑫盛苑,于都红军大道红军大道203号,4室3厅2卫,130㎡,南北,高层(共7层),2004年建造,4508元/㎡,58.6万,鹏泰附近 复试楼带露台 实地看看更满意
嘉德山与城,于都于都中学于山大道,3室2厅2卫,124.93㎡,南北,高层(共7层),2014年建造,5524元/㎡,69万,站前  附近嘉德山与城 带三房两厅 精装修送部分家电69万
佳兴花园,于都于山大道爱莲路372号,3室2厅2卫,124.5㎡,南,中层(共7层),2010年建造,6908元/㎡,86万,佳兴花园小区 三房精装修送车库17平米 采光好
金水湾御景豪园,于都渡江大道渡江大道,3室2厅2卫,104㎡,南,高层(共24层),2016年建造,9424元/㎡,98万,金水湾园林小区中间楼层带车位出售98万
龙江花园,于都红军大道滨江大道,4室2厅2卫,131.14㎡,南,低层(共7层),2007年建造,6558元/㎡,86万,广场明德旁 龙江小区精装四房 带前后露台200平 柴间12平
圣世广场,于都于都中学红军大道,4室2厅2卫,140.64㎡,南北,高层(共30层),2020年建造,7537元/㎡,106万,鹏泰百货 毛胚房 三面采光 4房户型方正 视野开阔
于都天润水云豪苑,于都于都中学渡江大道390号,4室2厅2卫,147㎡,南北,高层(共18层),2010年建造,6735元/㎡,99万,江边小区 全新豪华装修 三面采光 望江景
万达广场 · 泰达城,于都贡江大道东贡江新区贡江大道万达广场,3室2厅2卫,110.38㎡,南,,,8517元/㎡,94万,万达广场  泰达城  一线江景房推荐新房
于都国资·时代公馆,于都贡江大道东于都大道与振兴大道交汇处,3室2厅2卫,126㎡,南北,,,5794元/㎡,73万,于都国资时代新城  环境优美 少量房源推荐新房
佳兴花园,于都于山大道爱莲路372号,3室2厅2卫,124.5㎡,南,中层(共7层),2010年建造,6908元/㎡,86万,广场附近 小区 精装三房 带车库 17平  住宅三楼
于都国资·时代公馆,于都贡江大道东于都大道与振兴大道交汇处,3室2厅1卫,102㎡,南北,,,5785元/㎡,59万,工业园区新房  园林小区电梯房 小区环境优美推荐新房
天成名都,于都贡江大道东渡江南大道,4室2厅2卫,121㎡,南北,高层(共23层),2018年建造,8182元/㎡,99万,贡江新区 天成名都 超值精装四房 送品牌家具 视野辽阔
绿苑居·清华园,于都贡江大道东于都县贡江镇思源大道和利村路交汇处,3室2厅2卫,118㎡,南,,,7204元/㎡,85万,万达广场附近新房出售  环境优美推荐新房
佳兴花园,于都于山大道爱莲路372号,3室2厅2卫,141.5㎡,南北,中层(共7层),2012年建造,6078元/㎡,86万,急售 佳兴花园 三房精装未入住 三小于中附近  前后通透
中奥天悦铭著(新房),于都于山大道贡江新区振兴大道与大昌路交汇处,3室2厅2卫,108㎡,南,,,7500元/㎡,81万,贡江新区思源对面 园林式小区电梯洋房送产权车位推荐新房
福龙馨园,于都于山大道于中路5号,4室2厅2卫,122.17㎡,南北,高层(共7层),2005年建造,5959元/㎡,72.8万,福龙馨园附件，4房2厅2卫，售价72.8万
于都国资·时代国风府,于都于山大道思源大道与川江路交汇处,3室2厅2卫,105.32㎡,南北,,,7691元/㎡,81万,万达广场附件 小区环境优美 周边配套成熟推荐新房
嘉德山与城,于都于都中学于山大道,4室2厅2卫,138㎡,南北,高层(共8层),2016年建造,5058元/㎡,69.8万,降价了 毛坯大四房 火车站附近 站前
万达广场 · 泰达城,于都贡江大道东贡江新区贡江大道万达广场,3室2厅2卫,113.36㎡,南,,,8469元/㎡,96万,万达广场  泰达城 一线江景房  环境优美推荐新房
贡江镇集资房,于都于都中学长龙路15号,3室2厅1卫,72㎡,南,低层(共8层),1990年建造,5112元/㎡,36.8万,贡江镇集资房3室2厅1卫36.8万72平方米
盛世豪庭,于都红军大道兴乐路,4室2厅2卫,130㎡,南北,低层(共32层),2020年建造,8616元/㎡,112万,盛世豪庭精装修拎包入住四房诚意出售
乐都花园,于都于山大道工贸城七街,3室2厅2卫,128㎡,南北,低层(共6层),2006年建造,6954元/㎡,89万,于都中学附近乐都花园小区大三房精装修
天成名都,于都贡江大道东渡江南大道,3室2厅2卫,122㎡,南,中层(共22层),2020年建造,7214元/㎡,88万,天成名都三房两厅电梯好楼层报价88万
乐都花园,于都于山大道工贸城七街,4室2厅2卫,131.75㎡,南北,中层(共7层),2009年建造,6285元/㎡,82.8万,于都中学附近四房精装修拎包入住
天成名都,于都贡江大道东渡江南大道,3室2厅1卫,97㎡,南,中层(共18层),2018年建造,8124元/㎡,78.8万,天成名都精装小三房拎包入住
天成名都,于都贡江大道东渡江南大道,3室2厅2卫,130㎡,南北,高层(共6层),2017年建造,6924元/㎡,90万,天成名都大三房毛胚前后双阳台
福熙城,于都渡江大道古田中路,3室2厅2卫,124㎡,南北,中层(共25层),2018年建造,7017元/㎡,87万,于山中  附近小区电梯三房
天成名都,于都贡江大道东渡江南大道,3室2厅2卫,130.6㎡,南北,低层(共18层),2019年建造,6509元/㎡,85万,天成名都三房毛胚130.6平方售价85万
贡江壹号院,于都贡江大道东思源大道,4室2厅1卫,104㎡,南北,低层(共25层),2020年建造,9212元/㎡,95.8万,贡江新区中梁贡江壹号院精装修拎包入住四房
金水湾御景豪园,于都渡江大道渡江大道,3室2厅2卫,148㎡,南北,中层(共23层),2015年建造,8041元/㎡,119万,金水湾精装修拎包入住大三房
天成名都,于都贡江大道东渡江南大道,4室2厅2卫,122㎡,南北,高层(共22层),2019年建造,8673元/㎡,105.8万,天成名都精装修拎包入住诚意出售
盛世豪庭,于都红军大道兴乐路,4室2厅2卫,127.65㎡,南北,低层(共32层),2020年建造,9088元/㎡,116万,贡江新区精装未入住大四房送露台
滨江公园1号,于都红军大道贡江大道,3室2厅2卫,119.63㎡,南,高层(共32层),2017年建造,6980元/㎡,83.5万,滨江公园一号毛胚大三房诚意出售
于都黄金家园,于都贡江大道东思源大道,4室2厅2卫,105㎡,南北,低层(共19层),2018年建造,8553元/㎡,89.8万,贡江新区思源附近电梯精装四房
天乐花园,于都于都中学红军大道78-3号,4室2厅3卫,165㎡,南北,中层(共7层),2008年建造,5443元/㎡,89.8万,三中附近精装修拎包入住四房
丽水明珠A区,于都渡江大道古田中路,4室2厅2卫,137㎡,南北,高层(共8层),2010年建造,5957元/㎡,81.6万,丽水明珠附近精装四房诚意出售
丽水明珠A区,于都渡江大道古田中路,4室2厅2卫,142㎡,南北,中层(共8层),2010年建造,5986元/㎡,85万,于山中  附近精装四房拎包入住
翡翠湾二期,于都红军大道贡江大道501号,4室2厅2卫,125㎡,南北,中层(共32层),2020年建造,9344元/㎡,116.8万,翡翠湾一线江景四房送车位
领秀江南,于都贡江大道东楂林大道,2室2厅1卫,99㎡,南北,高层(共17层),2015年建造,6970元/㎡,69万,领秀江南江景两房精装修拎包入住
贡江壹号院,于都贡江大道东思源大道,4室2厅2卫,123㎡,南北,高层(共27层),2020年建造,9675元/㎡,119万,万达附近中梁贡江壹号院精装四房
丽水明珠A区,于都渡江大道古田中路,4室2厅2卫,137㎡,南,高层(共7层),2008年建造,6249元/㎡,85.6万,老二中丽水明珠旁 新装修大四房 三面采光 配套齐全
龙景嘉园,于都于山大道站前南路,3室2厅2卫,93㎡,南,中层(共7层),2015年建造,7398元/㎡,68.8万,龙景嘉园小区 精装3房新装修超大阳台送品牌家具
福熙城,于都渡江大道古田中路,3室2厅2卫,125㎡,南,中层(共25层),2016年建造,7840元/㎡,98万,于山附近福熙城小区 电梯三房精装修九成新
德福源小区,于都于山大道渡江大道,4室2厅2卫,128.17㎡,南北,中层(共7层),2009年建造,7015元/㎡,89.9万,明德  附近德福源小区精装四房
盛世豪庭,于都红军大道兴乐路,5室2厅2卫,152㎡,南北,中层(共32层),2018年建造,6829元/㎡,103.8万,三胎四胎  房源  正规大五房 北向望江景  方便看
天成名都,于都贡江大道东渡江南大道,4室2厅2卫,160.64㎡,东南,低层(共23层),2016年建造,6226元/㎡,100万,天成名都大小区园林江景房 大四房两厅两卫前后阳台
枫叶小区,于都渡江大道思源大道,4室2厅2卫,146㎡,南北,中层(共18层),2014年建造,7316元/㎡,106.8万,枫叶小区 于都地产的标杆 花园中心大四房
水岸新城一期(于都),于都渡江大道长征东路,4室2厅2卫,143.77㎡,南,低层(共7层),2008年建造,6038元/㎡,86.8万,水岸新城 四房两厅两卫毛坯新装修
汇金广场,于都渡江大道红旗大道,3室2厅2卫,120㎡,南,高层(共19层),2015年建造,7400元/㎡,88.8万,汇金广场一线江景电梯房 含泪抛售 140平
锦绣嘉园一期(于都),于都渡江大道滨江大道,3室2厅2卫,112.29㎡,南,中层(共8层),2008年建造,7107元/㎡,79.8万,锦绣嘉园大小区 精装3房南北通透三面采光
阳光水岸9号小区,于都于都中学滨江大道,4室2厅2卫,143.65㎡,南,低层(共7层),2008年建造,6043元/㎡,86.8万,江边小区阳光水岸 精装大四房 前后阳台
丽都豪苑,于都渡江大道长征大道,3室2厅2卫,128㎡,南,高层(共8层),2009年建造,6235元/㎡,79.8万,于山附近小区 三房精装修带柴间 九成新
于都黄金家园,于都贡江大道东思源大道,4室2厅2卫,110㎡,南,低层(共19层),2017年建造,8164元/㎡,89.8万,新区  家园小区，四房两厅两卫 毛坯新装修
佳兴花园,于都于山大道爱莲路372号,3室2厅2卫,124.5㎡,南北,中层(共7层),2011年建造,6908元/㎡,86万,长征广场附件  精装大三房 带17平车库 通风采光
博源榕景华庭,于都于都中学祝捷巷,4室2厅2卫,164.16㎡,南北,高层(共7层),2009年建造,6458元/㎡,106万,博源榕景华庭 超大户型 新装未入住送家具 城关  于都中学傍
枫叶小区,于都渡江大道思源大道,4室2厅2卫,146㎡,南北,中层(共18层),2014年建造,7398元/㎡,108万,枫叶小区电梯毛胚大四房诚意出售
温馨港湾,会昌第四小学公园路,3室2厅1卫,94.06㎡,南北,中层(共16层),,5529元/㎡,52万,温馨港湾3室2厅1卫好楼层一梯两户高性价比
东方胜境,会昌第四小学教育大道,4室2厅2卫,138㎡,南,中层(共7层),,8624元/㎡,119万,东方胜境4室2厅2卫
嘉联阳光丽景,会昌第四小学红旗大道338号,5室2厅2卫,165㎡,南北,高层(共7层),,3637元/㎡,60万,嘉联阳光丽景6室3厅3卫好楼层
湘湾首府,会昌第四小学富东路,3室2厅2卫,113.5㎡,南北,低层(共21层),,5023元/㎡,57万,湘湾  3室2厅2卫诚心出售高性价比
会昌碧桂园,会昌第四小学472县道,4室2厅2卫,129㎡,南,高层(共17层),,6512元/㎡,84万,会昌碧桂园4室2厅2卫
华南新城,会昌第四小学汉仙大道,4室2厅2卫,126.81㎡,南,低层(共11层),,4732元/㎡,60万,华南新城4室2厅2卫高性价比诚心出售高性价比诚心出售
文园裕景,会昌第四小学红旗大道415号,3室2厅2卫,119.14㎡,南,低层(共11层),,4029元/㎡,48万,文园裕景3室2厅2卫  诚心出售 价格可谈
御花园,会昌第四小学士法路,3室2厅2卫,118㎡,南,低层(共28层),,4238元/㎡,50万,御花园3室2厅2卫带地下室诚心出售
天玺湾,会昌第四小学新城南一路,5室2厅2卫,153.1㎡,南北,中层(共18层),,5618元/㎡,86万,"5房，低价出售！寻找有缘人，
高性价比诚心出售价格可谈好楼层"
金汇中央公园,会昌第四小学九二大道,3室2厅2卫,117.13㎡,南,中层(共17层),,5371元/㎡,62.9万,金汇中央公园3室2厅2卫
湘南小区,会昌第四小学湘江大道6号,3室2厅2卫,132㎡,南北,地下(共6层),,3228元/㎡,42.6万,湘南小区 汽车站旁楼下农贸市场生活方便价格可谈
天玺湾,会昌第四小学新城南一路,5室2厅2卫,153.35㎡,南北,中层(共18层),,5609元/㎡,86万,天玺湾5房，大户型！坐北朝南！户型两梯两户低价出售！
金汇中央公园,会昌第四小学九二大道,3室2厅2卫,117.13㎡,南,中层(共17层),,5371元/㎡,62.9万,中央公园品质小区大三房，电梯中高层，小区环境优美，
桃江龙城,信丰站前大道信安路,3室2厅2卫,125.6㎡,南北,中层(共28层),2018年建造,7325元/㎡,92万,水东桃江龙城小区内带车位广告
滨江花园(信丰),信丰陈毅广场新民路,3室2厅2卫,135㎡,南北,高层(共7层),2006年建造,4075元/㎡,55万,城中心滨江花园双阳台大三房两厅拎包入住带柴间
盛汇花园湾1区,信丰一清路滨江大道,5室2厅2卫,135㎡,南北,中层(共30层),2019年建造,10963元/㎡,148万,花园湾五房装修好没怎么住，直接拎包入住，带车位
桃江龙城,信丰站前大道信安路,3室2厅2卫,125.6㎡,南北,中层(共28层),2016年建造,7086元/㎡,89万,九小旁桃江龙城小区内三房带车位急售价仅89万，可看江景
桃江御景,信丰胜利路胜利路,3室2厅2卫,120㎡,东南,高层(共28层),2012年建造,6084元/㎡,73万,桃江御景精装三房73万急售拎包入住
游州苑B地块,信丰一清路北江源大道,5室2厅2卫,131㎡,南北,低层(共26层),2019年建造,8321元/㎡,109万,马鞍山花园湾旁五房使用面积150平带装修亏本急卖109万
豪景翡翠湾,信丰信安路滨江大道,4室2厅2卫,131㎡,南,高层(共31层),2018年建造,9542元/㎡,125万,翡翠湾4房两厅  楼层带两车位满两年125万
信丰金煌花园,信丰阳明北路山塘路2号,3室2厅2卫,121㎡,南北,低层(共18层),2009年建造,5042元/㎡,61万,低价急售房！金煌花园电梯三房可以改四房仅售61万，性价比高
龙城江山,信丰陈毅广场桃江东路,4室2厅2卫,142㎡,南北,低层(共28层),2017年建造,6198元/㎡,88万,龙城江山通透双阳台四房两厅两卫仅售88万，邻近九小
桃江龙城,信丰站前大道信安路,3室2厅2卫,123.36㎡,南,中层(共30层),2016年建造,6226元/㎡,76.8万,桃江龙城 15楼装修 123平方三房 急卖一口价76.8万
清华誉府,信丰站前大道站前大道,4室2厅2卫,130㎡,南,中层(共18层),2019年建造,6385元/㎡,83万,南边通透，二中五小旁边，清华誉府毛坯四房83万现房急卖
博大新城,信丰信丰迎宾大道迎宾大道,7室3厅4卫,280㎡,南,高层(共7层),2013年建造,5929元/㎡,166万,空中别墅豪华复试装修花了110万带红木家具166万出嫁
顺丰住宅楼,信丰陈毅广场建设路61号,2室2厅1卫,105㎡,南,中层(共6层),2010年建造,3505元/㎡,36.8万,城中心三小旁两房可改3房中间楼层105平方36.8万
爱地新城市花园,信丰阳明北路诚信大道,2室1厅1卫,68㎡,南,高层(共7层),2013年建造,5295元/㎡,36万,新城市花园小区精装修两房36万，拎包即住
桃江御景,信丰胜利路胜利路,4室2厅2卫,150.23㎡,南北,低层(共19层),2010年建造,5858元/㎡,88万,桃御景小区 江边4房 高升迁居外地 拎包入住
游州苑B地块,信丰一清路北江源大道,5室2厅2卫,131㎡,南,低层(共18层),2019年建造,7619元/㎡,99.8万,城南精装大五房，南北通透送全屋家居
盛汇铂金湾,信丰胜利路滨江大道,4室2厅2卫,128㎡,南北,中层(共30层),2023年建造,10000元/㎡,128万,铂金湾高档小区全线江景房4房2厅2卫报价128万包一半过户费
博大名城,信丰站前大道产业大道,3室2厅2卫,107㎡,南北,中层(共17层),2021年建造,5963元/㎡,63.8万,博大名城一期三房两厅两卫，户型通透，63.8万
盛汇铂金湾,信丰胜利路滨江大道,4室2厅2卫,132.7㎡,南北,高层(共32层),2023年建造,9028元/㎡,119.8万,铂金湾南北通透大四房，送7万车位
碧桂园圣塔天宸,信丰阳明北路迎宾大道,3室2厅2卫,118㎡,南北,高层(共16层),2022年建造,5594元/㎡,66万,碧桂园天辰电梯小洋房3房2厅2卫南北通透户型报价66万
嘉福未来城(信丰县),信丰站前大道产业大道,3室2厅2卫,112㎡,南北,高层(共28层),2021年建造,5697元/㎡,63.8万,嘉福未来城一期，契税满两年，63.8万
嘉福未来城(信丰县),信丰站前大道产业大道,4室2厅2卫,120㎡,南北,高层(共28层),2022年建造,5417元/㎡,65万,嘉福未来城现房，南北通透4房，总价65万，随时装修
观澜云府,信丰信安路滨江路,5室2厅3卫,175㎡,南北,中层(共32层),2020年建造,6846元/㎡,119.8万,观澜云府平层大五房，中间层，满两年，带车位119.8万
观澜云府,信丰信安路滨江路,4室2厅3卫,160㎡,南北,中层(共30层),2020年建造,5738元/㎡,91.8万,观澜云府复式楼，中间楼层，契税满两年，91.8万
盛汇花园湾3区,信丰一清路滨江大道,4室2厅3卫,158㎡,南北,低层(共24层),2021年建造,8545元/㎡,135万,盛汇花园湾一期大复式，使用面积230，视野无遮挡
豪景翡翠湾,信丰信安路滨江大道,4室2厅2卫,138㎡,南北,高层(共31层),2020年建造,9276元/㎡,128万,翡翠湾电梯高层四房，南北通透，带子母车位
盛汇花园湾1区,信丰一清路滨江大道,5室2厅2卫,170㎡,南北,中层(共33层),2021年建造,7942元/㎡,135万,盛汇花园湾全新精装修五房，未入住过！135万
江湾国际,信丰一清路迎宾大道,3室2厅1卫,89㎡,南北,中层(共32层),2018年建造,7304元/㎡,65万,江湾国际，江景三房，新装没怎么住，可以拎包入住
