小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
融景金都壹号,瑞金文化广场红都大道,3室2厅2卫,130㎡,南北,中层(共15层),2018年建造,5616元/㎡,73万,金都1号电梯中层大三房仅售70多万 业主急售 南北双阳台广告
锦江名城峰景,瑞金沿江路红都大道2号,3室2厅1卫,108㎡,南北,中层(共15层),2015年建造,5463元/㎡,59万,彩虹桥旁电梯三房 江景房 位置中心   近 硕丰中心商圈
锦绣东方,瑞金万合广场金三路,2室1厅1卫,47㎡,南,中层(共22层),2019年建造,6809元/㎡,32万,锦绣东方小两房 单身入住   电梯中层 卧室带阳台
豪门新城,瑞金惠民广场金都大道,5室2厅2卫,130㎡,南北,高层(共32层),2020年建造,7062元/㎡,91.8万,教育园区豪门新城5房 新装修未入住 业主急售 带全部家具
中梁瑞园,瑞金文化广场桔林大道,4室2厅2卫,138㎡,南北,中层(共32层),2020年建造,8406元/㎡,116万,文化广场旁中梁瑞园电梯中层大四房 超长阳台 业主急售 随时看
澜郡,瑞金惠民广场绵江北路,3室2厅2卫,120㎡,南北,高层(共18层),2020年建造,6834元/㎡,82万,体育馆附近澜郡电梯中层新装修3房 拎包入住 钥匙在手 江景房
领秀时代,瑞金七里段长征大道,4室2厅2卫,130㎡,南北,中层(共17层),2017年建造,6077元/㎡,79万,七里段金穗  旁电梯4房 厅带阳台朝南 拎包入住
阳光瑞景,瑞金七里段红都大道1号,3室2厅2卫,120㎡,南北,高层(共7层),2009年建造,4584元/㎡,55万,城东新装修3房 日式风格 超市  就在家门口
领秀时代,瑞金七里段长征大道,3室2厅1卫,100㎡,南北,高层(共18层),2019年建造,6600元/㎡,66万,城东电梯新小区3房 精装修 金瑞湾公园旁
瑞金太阳城,瑞金国际商贸中心绵江北路,4室2厅2卫,130㎡,南北,高层(共28层),2020年建造,8616元/㎡,112万,红都国际城高层大四房 全新装修拎包入住 业主急售
锦江名城峰景,瑞金沿江路红都大道2号,4室2厅2卫,130㎡,南北,高层(共18层),2015年建造,6847元/㎡,89万,彩虹桥旁峰景小区江景电梯大4房 全新装修 拎包入住
锦绣花园,瑞金惠民广场中山南路,6室3厅2卫,130㎡,南北,高层(共7层),2017年建造,5370元/㎡,69.8万,城南锦绣花园复式楼 6房3厅仅售69.8 南北通透带双露台
中梁瑞园,瑞金文化广场桔林大道,3室2厅2卫,110㎡,南北,高层(共34层),2019年建造,6091元/㎡,67万,文化广场中梁瑞园电梯中层毛坯3房 视野开阔 坐北朝南
东投大名府,瑞金七里段东升街,4室2厅2卫,135㎡,南北,低层(共18层),2021年建造,7260元/㎡,98万,城东大名府带前后露台大四房 南北通透 光线十足 业主急售
七里金虹湾,瑞金文化广场红都大道,4室2厅2卫,139㎡,南北,中层(共7层),2015年建造,5684元/㎡,79万,城东七里金虹湾4房2卫 报价79万 随时看房
锦江名城峰景,瑞金沿江路红都大道2号,4室2厅2卫,135㎡,东西,高层(共17层),2017年建造,5467元/㎡,73.8万,彩虹桥旁电梯大四房 前后双阳台 接送方便 沿河江景房
王府景小区,瑞金红都广场七彩大道,4室2厅2卫,130㎡,南北,中层(共31层),2019年建造,7077元/㎡,92万,景超大面积4房 南北通透 钥匙在手 中间楼层
锦江名城峰景,瑞金沿江路红都大道2号,3室2厅1卫,108㎡,南北,中层(共15层),2015年建造,5463元/㎡,59万,彩虹桥旁电梯三房 江景房 位置中心   近 硕丰中心商圈
九天御景,瑞金龙珠路金都大道,4室2厅2卫,142㎡,南北,中层(共17层),2019年建造,6691元/㎡,95万,住在公园里小区 九天御景正规大四房 电梯中层 前后双阳台
七里金虹湾,瑞金文化广场红都大道,3室2厅2卫,125㎡,南北,中层(共15层),2017年建造,6320元/㎡,79万,城东七里金虹湾带车库精装修3房 电梯中层 装修保养好
金都阳光,瑞金文化广场桔林大道,3室2厅2卫,110㎡,南北,高层(共26层),2020年建造,7728元/㎡,85万,城东金都阳光边套3房 南北通透 随时可看房 业主急售
红都象湖新城一期,瑞金七里段红都大道,4室2厅2卫,128㎡,南北,高层(共22层),2020年建造,6641元/㎡,85万,城东白面坝电梯中层四房 精装修带家具部分电器 拎包入住 可看
金都阳光,瑞金文化广场桔林大道,3室2厅2卫,110㎡,南北,高层(共28层),2019年建造,7728元/㎡,85万,城东文化广场金都阳光电梯中高层 大三房 小区   厅带阳台朝
瑞鼎公馆,瑞金沿江路七彩大道,3室2厅2卫,110㎡,南北,高层(共24层),2019年建造,7182元/㎡,79万,业主急售瑞鼎公馆电梯中层精装修3房 拎包入住 位置中心
嘉联芙蓉新城(瑞金),瑞金七里段红都大道,3室2厅2卫,128㎡,南北,低层(共7层),2016年建造,5625元/㎡,72万,七里段芙蓉新城全新装修 急售房源 南北通透 简约风格
红都象湖新城二期,瑞金七里段金都大道,4室2厅2卫,128㎡,南北,高层(共19层),2020年建造,6719元/㎡,86万,城东象湖新城二期电梯中层4房 全新装修 布局合理 动静分明
瑞鼎公馆,瑞金沿江路七彩大道,3室2厅2卫,108㎡,南北,低层(共18层),2019年建造,7399元/㎡,79.9万,瑞鼎公馆全新装修未入住3房 现代轻奢风格 产权清晰    成
公园未来城,瑞金七里段长征大道,4室2厅2卫,129㎡,南北,低层(共9层),2021年建造,7659元/㎡,98.8万,城东  公馆洋楼4房一手房 全新装修拎包入住 可享受契税步梯推荐新房
融景金都壹号,瑞金文化广场红都大道,3室2厅2卫,130㎡,南北,中层(共15层),2018年建造,5616元/㎡,73万,金都1号电梯中层大三房仅售70多万 业主急售 南北双阳台
东方豪庭,瑞金七里段长征大道,4室2厅2卫,130㎡,南北,高层(共9层),2019年建造,6770元/㎡,88万,金穗  东方豪庭全新装修洋房大四房 拎包入住 双阳台 急售
阳光瑞景,瑞金七里段红都大道1号,4室2厅2卫,160㎡,南北,高层(共7层),2008年建造,3438元/㎡,55万,七里段大四房仅售55万 正规全明户型 超长阳台
锦绣花园,瑞金惠民广场中山南路,2室2厅1卫,90㎡,南,高层(共7层),5756元/㎡,51.8万,锦绣花园2室2厅1卫一梯两户高性价比价格可谈诚心出售好楼层
锦绣花园,瑞金惠民广场中山南路,3室2厅2卫,132㎡,南北,中层(共6层),5682元/㎡,75万,锦绣花园3室2厅2卫满五
瑞金太阳城,瑞金国际商贸中心绵江北路,4室2厅2卫,147.18㎡,南北,高层(共8层),8018元/㎡,118万,瑞金太阳城4室2厅2卫
豪门新城,瑞金惠民广场金都大道,3室2厅2卫,97㎡,南北,高层(共17层),7151元/㎡,69.4万,豪门新城3室2厅2卫好楼层一梯两户价格可谈诚心出售
京里中央大街,瑞金万合广场京里街,15室0厅0卫,258㎡,东,低层(共6层),5388元/㎡,139万,京里中央大街15室0厅0卫
锦江名城峰景,瑞金沿江路红都大道2号,3室2厅1卫,100㎡,南,地下(共16层),6860元/㎡,68.6万,锦江名城峰景3室2厅1卫
