小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
恒大帝景御景苑,章江新区登峰大道兴国路62号,3室2厅2卫,130㎡,南,中层(共26层),2019年建造,13539元/㎡,176万,新上房源！御景苑通透大三房，全新装修，视野非常开阔广告
银庭花园,章江新区章江南大道章江南大道20号,3室2厅2卫,130㎡,南北,高层(共7层),2007年建造,9154元/㎡,119万,新区 天虹九方商圈 精装大三房 好晒太阳 急售 急售
恒大翡翠华庭二期,章江新区新赣州大道沙洲坝路8号,3室2厅1卫,107㎡,南北,中层(共26层),2017年建造,13085元/㎡,140万,中央生态公园旁 恒大翡翠华庭二期 精装三房 仅140万
乾盛T1公馆,章江新区登峰大道登峰大道,4室2厅2卫,143㎡,南,低层(共6层),2017年建造,19231元/㎡,275万,275万，抢经开E地块通透四房，带院子及6米挑高地下室
保利联发康桥,章江新区新赣州大道兴国路,4室2厅2卫,141㎡,南,低层(共30层),2019年建造,15532元/㎡,219万,业主亏本卖 精装四房带家具 中高楼层 南北通透 拎包入住
华润幸福里二期,章江新区登峰大道琴江路5号,4室2厅2卫,140㎡,南北,高层(共33层),2017年建造,15429元/㎡,216万,万象城华润幸福里 全新精装修4房 采光充足 视野开阔
世纪嘉园,章江新区梅关大道梅关大道,4室2厅2卫,125㎡,南,中层(共32层),2016年建造,16400元/㎡,205万,捡漏 精装四房保养好 采光好 拎包入住 南北通透双阳台
城央一品,章江新区兴国路兴国路45号,5室2厅2卫,180㎡,南北,低层(共31层),2014年建造,14334元/㎡,258万,兴国路 近医院 配套齐全 出行方便 南北通透 满五
华润幸福里二期,章江新区登峰大道琴江路5号,4室2厅2卫,142㎡,南北,中层(共34层),2017年建造,17254元/㎡,245万,万象城 带车位豪装四房  边套通透户型 中央空调地暖
华润幸福里三期,章江新区登峰大道琴江路,4室2厅2卫,127㎡,南,高层(共42层),2019年建造,16378元/㎡,208万,笋盘！万象城幸福里精装四房拎包入住仅售208万
宝能世纪城(东区),章江新区红都大道赣江源大道11号,3室2厅2卫,117㎡,南,高层(共32层),2018年建造,17522元/㎡,205万,豪德文清 环球汇南北通透三房两厅豪华装修
荣轩大厦,章江新区五指峰路登峰大道,1室1厅1卫,45㎡,南,中层(共9层),2019年建造,10000元/㎡,45万,章江新区赞贤路赣三钟 70年产权 朝南户型 精装带家具家电
云星公园大观,章江新区章江路章江路18号,4室2厅2卫,176㎡,南,低层(共30层),2019年建造,19830元/㎡,349万,云星公园大观富 人区大四房带400平大露台. 仅售349万
联发雍榕华府,章江新区梅关大道梅关大道29号,3室2厅2卫,135㎡,南,高层(共18层),2020年建造,16149元/㎡,218万,全线江景小区   豪装大3房 南北对流 中央空调7米大阳台
