小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
联发君悦滨江,章贡章江北大道章江北大道,3室2厅2卫,137㎡,东南,低层(共26层),2016年建造,9928元/㎡,136万,好房推荐！联发品质 全线江景 豪装三房 家具家电齐全拎包入住广告
嘉福国际(章贡),章贡红旗大道渡口路9号,4室2厅2卫,128.11㎡,东南,中层(共28层),2015年建造,10929元/㎡,140万,好房推荐！嘉福国际 江景精装四房 装修未入住 诚意出售
联发君悦滨江,章贡章江北大道章江北大道,3室2厅2卫,125㎡,南北,中层(共27层),2019年建造,10240元/㎡,128万,捡漏了联发君悦滨江 南北通透双阳台 精装三房 全线江景采光好
联发君悦滨江,章贡章江北大道章江北大道,3室2厅2卫,125㎡,南北,高层(共27层),2019年建造,10240元/㎡,128万,全线江景联发君悦滨江 南北通透双阳台 毛坯三房 采光视野好
国际时代广场,章贡红旗大道红旗大道94号,3室2厅2卫,120㎡,南北,中层(共24层),2015年建造,9167元/㎡,110万,好户型双阳台南北通透，瓷砖上墙装修保养好，大润发三康庙赣三中
中梁华董国宾府,章贡八一四大道栎木坑路,4室2厅2卫,125.73㎡,东南,中层(共11层),2018年建造,9783元/㎡,123万,白云旁 中梁国宾府 洋房中间楼层四房 生活方便 配套成熟
巨亿城,章贡八一四大道八一四大道,5室2厅2卫,131㎡,南,高层(共34层),2018年建造,9619元/㎡,126万,章贡区 恒大名都旁 九方巨亿广场  楼层 不临高架
中环中央城B区,章贡中央公园绵江路21号,4室2厅2卫,130㎡,南,低层(共22层),2017年建造,14616元/㎡,190万,好房推荐！章江新区中央城大四房 万象城商圈 带  南向大露台
联泰天璞,章贡蓉江新区105国道,4室2厅2卫,135㎡,南,高层(共31层),2020年建造,12519元/㎡,169万,捡漏 168W买 蓉江新区 联泰天璞 全线江景 毛坯四房
新华府,章贡虔东大道西郊路9号,4室2厅2卫,140㎡,南北,中层(共18层),2019年建造,9286元/㎡,130万,一线江景零公摊得房率高，赣三中赣七中阳明小 学，大润发三康庙
国际时代广场,章贡红旗大道红旗大道94号,3室2厅2卫,140㎡,东南,高层(共20层),2010年建造,7858元/㎡,110万,江边好房 国际时代 双阳台毛坯三房两卫 横厅设计 诚意出售
西津路社区,章贡西津路西津路23号,2室2厅1卫,66.6㎡,南北,中层(共7层),1990年建造,5691元/㎡,37.9万,老城区西津路郁孤台 全新装修中间楼层南北通透带30平  露台
和平路社区(云峰巷),章贡健康路云峰巷1号,2室2厅1卫,93㎡,南,中层(共7层),1995年建造,4280元/㎡,39.8万,老城区大公路二小宋城公园 南北通透全新装修 契税满五年
联泰天璞,章贡蓉江新区105国道,4室2厅2卫,162㎡,南,低层(共6层),2018年建造,13704元/㎡,222万,业主急售，江边带露台洋房，三面采光，前后无遮挡
文明大道17-25号小区,章贡张家围文明大道17-25号,3室2厅1卫,80㎡,南,低层(共6层),1990年建造,5575元/㎡,44.6万,文明大道红旗二小桃园农贸市场 户型方正前后带阳台送柴间
恒瑞蓝波湾,章贡章江北大道章江北大道18号,4室2厅2卫,183.7㎡,南北,低层(共18层),2007年建造,8275元/㎡,152万,章江  道南红旗二小旁章贡中学附近精装修大气4房2厅2卫3阳
龙兴福居极少墅,章贡文清路赣丰路,4室2厅2卫,155㎡,南北,高层(共31层),2021年建造,12504元/㎡,193.8万,一线江景豪宅看来水 龙兴福居极少墅只要193.8万
厚德路34号小区,章贡东桥路厚德路34号,5室3厅2卫,128.16㎡,南,共5层,1999年建造,6087元/㎡,78万,厚德路 5室3厅 性价比高 产光好 地段繁华 带露台 好停车
富力现代城,章贡蓉江新区武陵大桥,3室2厅2卫,123㎡,东南,中层(共18层),2022年建造,13171元/㎡,162万,急售蓉江之星，南北通透双阳台，  楼层，视野开阔，滨江公园，
嘉福新天地,章贡中央公园平安大道,3室2厅2卫,106㎡,南北,中层(共16层),2022年建造,14642元/㎡,155.2万,中书文旅旁 嘉福新天地 155.2万超大主卧 品质小区
九里峰山原山,章贡蓉江新区峰景路,4室3厅4卫,506㎡,南北,共3层,2017年建造,20751元/㎡,1050万,九里峰山独栋大别墅 捡漏仅1050万 1600平使用面积
蕻菜塘40号住宅,"章贡赣江路大公路,近和平路",2室2厅1卫,65㎡,南,低层(共7层),1994年建造,5662元/㎡,36.8万,蕻菜塘 全新精装 2室2厅 低楼层 高性价比 临江地段
蕻菜塘40号住宅,"章贡赣江路大公路,近和平路",2室2厅1卫,65㎡,南,低层(共7层),1992年建造,4924元/㎡,32万,蕻菜塘 江边小区 精装实惠2房 适合老人居住 低楼层 带柴间
圣地亚哥(别墅),章贡金星路金岭西路75号,6室3厅4卫,360㎡,南北,地下(共4层),2018年建造,11862元/㎡,427万,降价30万！  亚哥头排江景别墅 前后花园300平
九里峰山原山,章贡蓉江新区峰景路,6室3厅4卫,203㎡,南北,共3层,2016年建造,13794元/㎡,280万,新上 九里峰山一期别墅 已全部改造 地势高 南入户
九里峰山云湖曦岸,章贡蓉江新区峰景路,6室2厅5卫,263㎡,南北,共4层,2019年建造,11331元/㎡,298万,湖景联排边套 九里峰山捡大漏 298万前后大花园
天华御景苑,章贡章江北大道杨公路11号,3室2厅2卫,136㎡,南,中层(共7层),2010年建造,8456元/㎡,115万,章江  道江边小区 大气三房 保养很新 136平仅售115万
新力钰珑湾,章贡虔东大道科盈路,5室2厅3卫,165㎡,南北,共5层,2017年建造,8182元/㎡,135万,买高层小三房的价格买别墅135万现房别墅送车位   即用
金田小区,章贡文明大道文明大道44号,4室2厅2卫,185㎡,南北,高层(共6层),1997年建造,4573元/㎡,84.6万,82万购买文明大道185平米大气四房二卫赠送14平米柴间急售
巨亿城,章贡八一四大道八一四大道,4室2厅2卫,115㎡,南北,高层(共33层),2018年建造,11740元/㎡,135万,章江新区一桥之隔 全新精装修未入住 中间楼层 采光充足
金城苑,章贡红旗大道东胜山路15号,2室2厅1卫,72㎡,南,中层(共7层),1993年建造,5417元/㎡,39万,老城区 东胜山路 改造好的小区 精装2房 中间楼层 好停车
钓鱼台,章贡文清路厚德路,2室2厅1卫,78㎡,南北,高层(共7层),1991年建造,6154元/㎡,48万,钓鱼台，有院子，好停车，  边上，户型通透
钓鱼台,章贡文清路厚德路,2室2厅1卫,78㎡,南北,共5层,1992年建造,6026元/㎡,47万,南门口文清路大公路一  赣州三中附近大公路精装修2房2厅1卫
新力钰珑湾,章贡虔东大道科盈路,3室2厅2卫,118㎡,南,高层(共27层),2020年建造,7873元/㎡,92.9万,首期八万买 步步高商圈 新力钰珑湾 精装边套三房两厅两卫
联创城市花园,章贡章江北大道章江北大道28号,5室2厅3卫,322㎡,南北,高层(共16层),2006年建造,8945元/㎡,288万,联创花园风水江景5房带400平花园288万
东郊路28号小区,章贡东郊路东郊路28号,2室2厅1卫,94㎡,南北,中层(共7层),2004年建造,5830元/㎡,54.8万,2004年报建 周边   菜场 停车一应俱全 随时约看
新力钰珑湾,章贡虔东大道科盈路,6室3厅4卫,185㎡,南,共4层,2020年建造,8584元/㎡,158.8万,赣州市后花园 新力钰珑湾 叠墅复式四层 带花园带酒窖 送车位
营角上路16号小区,章贡营角上营角上路16号,3室2厅2卫,132.09㎡,南,高层(共7层),2000年建造,5981元/㎡,79万,已加装电梯，有院子好停车，超大南向阳台
钓鱼台,章贡文清路厚德路,2室2厅1卫,78㎡,南北,高层(共7层),1991年建造,6154元/㎡,48万,钓鱼台，有院子，好停车，  边上，户型通透
