小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
商业南巷小区,赣县双龙大道双龙大道,3室2厅2卫,123㎡,南北,高层(共7层),2012年建造,5935元/㎡,73万,梅林大街商业南锦秀花园带车位广告
海龙湾商住楼,赣县贡江大道西贡江大道,3室2厅2卫,115㎡,西,中层(共6层),2015年建造,6870元/㎡,79万,贡江大道 海龙湾 精装修三房两厅两卫 满五 送家具家电
百望花园,赣县好又多广场站前大道152号,3室2厅1卫,97㎡,南,高层(共7层),2005年建造,4021元/㎡,39万,百望花园小区，三房两厅一卫，送杂间，送露台，有证，39万
百望花园,赣县好又多广场站前大道152号,3室2厅1卫,101.89㎡,南北,高层(共7层),2003年建造,4024元/㎡,41万,二中边上三房两厅带露台柴火间
华润万橡府,赣县城北大道狮子岩大道,4室2厅2卫,140㎡,南北,低层(共11层),2021年建造,7715元/㎡,108万,带露台万橡府4房7.2米长阳台开间4.5米40平米客厅
华晨彩虹城二期,赣县贡江大道西章贡路12号,4室2厅2卫,140㎡,南,低层(共26层),2018年建造,9643元/㎡,135万,捡漏了  华晨彩虹城二期豪装4室2厅2卫  房子保养很好
蓝湾半岛东区(赣县),赣县鑫业大道杨仙大道,4室2厅2卫,117㎡,南,中层(共31层),2019年建造,8377元/㎡,98万,江景房蓝湾半岛东区，4室2厅2卫，好楼层，送车位，98万
华润万橡府,赣县城北大道狮子岩大道,4室2厅2卫,136㎡,南北,高层(共34层),2020年建造,7059元/㎡,96万,华润万橡府 4室2厅2卫 好楼层，96万136平方米
蓝湾里(赣县),赣县城南大道城南大道,4室2厅2卫,131㎡,南北,中层(共28层),2019年建造,9771元/㎡,128万,四中.四小对面精装大4房  边套  房东置换  拧包入住
蓝湾里(赣县),赣县城南大道城南大道,4室2厅2卫,136㎡,南,中层(共30层),2020年建造,9265元/㎡,126万,蓝湾里 四中 四小 城南大道 精装修 金科 梅林古镇 碧桂园
蓝湾半岛东区(赣县),赣县鑫业大道杨仙大道,4室2厅2卫,135㎡,南,高层(共28层),2018年建造,9556元/㎡,129万,一线江景毛坯精装四房未入住，高档小区
赣铝花都,赣县贡江大道西章贡路58号,3室2厅1卫,87㎡,南,低层(共6层),2018年建造,5736元/㎡,49.9万,城南四中四小一路之隔，双阳台带柴间只售49.9万
蓝湾半岛东区(赣县),赣县鑫业大道杨仙大道,4室2厅2卫,135㎡,南,高层(共28层),2020年建造,9556元/㎡,129万,蓝湾半岛东区 江景房 空气清新
蓝湾里(赣县),赣县城南大道城南大道,3室2厅2卫,106㎡,南,高层(共26层),2018年建造,8680元/㎡,92万,蓝湾里 毛坯三房两厅两卫 带一个超大阳台 可以看江 江景房
蓝湾里(赣县),赣县城南大道城南大道,4室2厅2卫,131㎡,南,中层(共27层),2020年建造,9771元/㎡,128万,急售，四小四中对面，小区电梯房中层，边套南北通透，拎包入住
源盛公园里,赣县城北大道赣县区,4室2厅2卫,141㎡,南北,中层(共33层),2020年建造,7944元/㎡,112万,源盛公园里电梯  四房两厅两卫 品质小区 通透双阳台边套
嘉福原山著,赣县城北大道城北大道,4室2厅2卫,143㎡,南,低层(共26层),2019年建造,6224元/㎡,89万,新上房源！华润万橡府旁 嘉福品质  业主亏本急售20万
保利嘉福领秀山,赣县城北大道旭初路,3室2厅2卫,108㎡,南北,高层(共26层),2020年建造,8241元/㎡,89万,嘉福保利领秀山  三房两卫二卫 毛坯房全新精装末入住 央企推荐新房
孔雀湾,赣县城北大道贡江大道北8号,3室2厅2卫,100.8㎡,南北,高层(共26层),2019年建造,6935元/㎡,69.9万,捡漏  思源  旁 孔雀湾电梯中层 三房两厅两卫
保利嘉福领秀山,赣县城北大道旭初路,3室2厅2卫,108㎡,南北,中层(共26层),2020年建造,9241元/㎡,99.8万,嘉福保利领秀山 三房两厅两卫，毛坯房全新精装品牌央企推荐新房
保利嘉福领秀山,赣县城北大道旭初路,3室2厅2卫,108㎡,南,高层(共28层),2020年建造,7112元/㎡,76.8万,单价7000元！享 保利嘉福品质 高端邻居资源推荐新房
保利嘉福领秀山,赣县城北大道旭初路,3室2厅2卫,108㎡,南,高层(共29层),2020年建造,6760元/㎡,73万,急卖赣县保利 东边套三面采光 毛坯三房两厅两卫 电梯好楼层推荐新房
贡江学府,赣县城南大道梅林大街10号,3室2厅2卫,119㎡,南北,低层(共30层),2020年建造,7227元/㎡,86万,四中四小对面  贡江   三房两厅两卫  品质小区
贡江学府,赣县城南大道梅林大街10号,3室2厅2卫,125㎡,南北,低层(共26层),2020年建造,7280元/㎡,91万,现房 有证 贡江   四小四中旁 南北通透双阳台
贡江学府,赣县城南大道梅林大街10号,4室2厅2卫,144㎡,南北,中层(共28层),2020年建造,7500元/㎡,108万,贡江  电梯中层  四房两厅两卫  品质小区 四中四小对面
贡江学府,赣县城南大道梅林大街10号,3室2厅1卫,62㎡,南北,低层(共29层),2020年建造,7065元/㎡,43.8万,四中四小对面，贡江  电梯  温馨三室两厅
华润万橡府,赣县城北大道狮子岩大道,3室2厅2卫,120㎡,南北,高层(共30层),2020年建造,6984元/㎡,83.8万,捡漏 捡漏 华润万橡府 三室两厅两卫 单价仅6千多
华润万橡府,赣县城北大道狮子岩大道,4室2厅2卫,133㎡,南,低层(共33层),2020年建造,9474元/㎡,126万,急卖 满二 华润 精装修四房两厅两卫 东边套 家具家电全留
华润万橡府,赣县城北大道狮子岩大道,4室2厅2卫,133.87㎡,南北,高层(共34层),2018年建造,7209元/㎡,96.5万,亏本急售 华润万象府四房 南北通透 好楼层
华润万橡府,赣县城北大道狮子岩大道,4室2厅2卫,134㎡,南北,高层(共33层),2020年建造,7090元/㎡,95万,捡漏  华润万象府  大四室两厅两卫边套 品质小区满2年
榕玺台,赣县好又多广场杨仙大道,3室2厅2卫,110㎡,南北,中层(共30层),2018年建造,8182元/㎡,90万,电梯房江景房 3室2厅 榕玺台 南北通透 110平 看房方便
榕玺台,赣县好又多广场杨仙大道,4室2厅2卫,128㎡,南北,高层(共29层),2020年建造,8594元/㎡,110万,捡漏！房东亏本出售 榕玺台四房两厅两卫 边套双阳台 可看江景
联发君悦华府,赣县好又多广场狮子岩大道,3室2厅2卫,116㎡,南,高层(共34层),2020年建造,5863元/㎡,68万,联发君悦华府 毛坯三房两厅两卫116平 东边套三面采光
碧桂园豪园,赣县光彩大道章贡路,4室2厅2卫,128㎡,南,高层(共32层),2020年建造,9219元/㎡,118万,急卖 赣县城南 碧桂园 精装修四房两厅两卫 双阳台 南北通透
榕玺台,赣县好又多广场杨仙大道,4室2厅2卫,128㎡,南,高层(共33层),2020年建造,10079元/㎡,129万,榕玺台满二急售 江景房 毛坯四房两厅两卫 南北通透 三面采光
碧桂园豪园,赣县光彩大道章贡路,3室2厅2卫,108㎡,南,高层(共29层),2021年建造,9899元/㎡,106.9万,急卖赣县城南 碧桂园精装修三房两厅两卫 视野采光好 梅林大街
华润万橡府,赣县城北大道狮子岩大道,4室2厅2卫,132㎡,南北,高层(共7层),2020年建造,8713元/㎡,115万,华润万象府电梯洋房四室两厅两卫 品质小区 绿化美
源盛公园里,赣县城北大道赣县区,4室2厅2卫,129㎡,南北,低层(共26层),2021年建造,8760元/㎡,113万,源盛公园里  豪华装修  四房两厅两卫  电梯房
嘉福原山著,赣县城北大道城北大道,4室2厅2卫,143㎡,南,中层(共33层),2019年建造,7343元/㎡,105万,嘉福精装143平大四房，只售毛坯价！
华润万橡府,赣县城北大道狮子岩大道,4室2厅2卫,139.6㎡,南北,低层(共11层),2020年建造,8095元/㎡,113万,华润万橡府电梯洋房 四房两厅两卫 带一个小露台 满二
联发君悦华府,赣县好又多广场狮子岩大道,3室2厅2卫,116㎡,南北,高层(共34层),2018年建造,6466元/㎡,75万,联发君悦华府 南北通透3房带大阳台 满2 景观好
源盛公园里,赣县城北大道赣县区,4室2厅2卫,142㎡,南,低层(共33层),2020年建造,9085元/㎡,129万,源盛公园里精装大四房边套！
光彩大市场,赣县光彩大道创维东路48号,3室2厅1卫,117㎡,南北,中层(共7层),1999年建造,4958元/㎡,58万,光彩小区房 精装大3房  楼梯中间层 保养好带柴间
保利嘉福领秀山,赣县城北大道旭初路,3室2厅2卫,108㎡,南北,中层(共27层),2018年建造,9167元/㎡,99万,保利嘉福领秀山，精装修未入住，三房两厅两卫推荐新房
