小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
亿邦凯旋城,南康广场天街复兴大道,4室2厅2卫,121㎡,南,低层(共33层),2020年建造,7422元/㎡,89.8万,凯旋城 精装四房两厅两卫 南北通透双阳台 采光通风俱佳广告
龙湖佳兴紫云台,南康南山大道天马山大道,4室2厅2卫,140㎡,南北,中层(共18层),2020年建造,8286元/㎡,116万,龙湖紫云台 南水非常认可物业 改善居住环境非常认可
亿邦凯旋城,南康广场天街复兴大道,3室2厅2卫,124㎡,南,中层(共32层),2018年建造,7178元/㎡,89万,赣南大道东山新区  八小 凯旋城 南北通透精装大四房 楼层好
龙湖佳兴紫云台,南康南山大道天马山大道,4室2厅2卫,122.72㎡,南,高层(共34层),2019年建造,7970元/㎡,97.8万,五维园林 智慧物业 紫云台毛坯4房2厅
书香华庭,"南康蓝田大道南水大道,近坪岭路",4室2厅2卫,115㎡,南北,低层(共24层),2017年建造,8522元/㎡,98万,书香华庭四房两厅房东诚意出售98万南北通透三小五中
亿邦凯旋城,南康广场天街复兴大道,3室2厅2卫,98㎡,南,中层(共32层),2021年建造,5000元/㎡,49万,东山新区毛坯三房，人车分流，户型方正视野开阔，  即装修
龙湖佳兴紫云台,南康南山大道天马山大道,4室2厅2卫,122㎡,南,高层(共33层),2020年建造,8361元/㎡,102万,四小十一中 紫云台四房 南北通透双阳台
佳龙太古城,南康和谐大道南山大道,3室2厅1卫,89㎡,南,中层(共30层),2018年建造,7753元/㎡,69万,天然氧吧 太古城温馨3房 新精装保养好
书香华庭,"南康蓝田大道南水大道,近坪岭路",4室2厅2卫,116㎡,南北,高层(共30层),2009年建造,10311元/㎡,119.6万,书香华庭 精装4房 南北通透 品质舒适小区 周边配套成熟
碧桂园正荣天麓(公寓住宅),南康天马山大道天马山大道,3室2厅2卫,117㎡,南,中层(共33层),2018年建造,7949元/㎡,93万,七小九中   碧桂园精装修   三房两厅两卫
亿邦凯旋城,南康广场天街复兴大道,3室2厅2卫,91㎡,南,高层(共32层),2017年建造,7352元/㎡,66.9万,凯旋城三房二厅两卫拎包入住 超大主卧 停车方便 小区绿化好
亿邦凯旋城,南康广场天街复兴大道,3室2厅2卫,90㎡,南,高层(共32层),2018年建造,7767元/㎡,69.9万,凯旋城三房两厅两卫也能房东自装 家具家电齐全拧包就可入住
佳兴公园,南康蓝田大道南山大道,3室2厅2卫,112㎡,南,高层(共17层),2021年建造,7492元/㎡,83.9万,七小九中 南北通透双阳台三房 佳兴品质 零投诉小区
佳兴公园,南康蓝田大道南山大道,3室2厅2卫,110㎡,南北,高层(共17层),2018年建造,7546元/㎡,83万,七小九中 佳兴公园东边套洋房 小区人车分流有密码看房业主急售
南康·居然大观,南康广场天街赣南大道与机场快速路的交汇处,3室2厅2卫,111㎡,南北,6667元/㎡,74万,洋房清栋捡漏6字头！买房就送车位独梯独户大3房南北通透长阳台推荐新房
美的爱康公园天下,南康工业大道赣南大道,4室2厅2卫,128㎡,南,低层(共33层),2023年建造,9844元/㎡,126万,爱情海购物中心十二小十二中美的公园天下精装修四房南北通透
绿地城际空间站晶骊,南康赣南大道339省道,3室2厅2卫,120㎡,南北,中层(共17层),2018年建造,6584元/㎡,79万,出价就卖 经开万达商圈高铁新区现房，房东硬亏20万挥泪甩卖
绿地城际空间站晶骊,南康赣南大道339省道,4室2厅2卫,150㎡,南,低层(共6层),2021年建造,7334元/㎡,110万,高铁新区央企纯洋房南北通透大横厅   捡漏啦 新小区环境好.
