小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
桃江龙城,信丰站前大道信安路,3室2厅2卫,125.6㎡,南北,中层(共28层),2018年建造,7325元/㎡,92万,水东桃江龙城小区内带车位广告
滨江花园(信丰),信丰陈毅广场新民路,3室2厅2卫,135㎡,南北,高层(共7层),2006年建造,4075元/㎡,55万,城中心滨江花园双阳台大三房两厅拎包入住带柴间
盛汇花园湾1区,信丰一清路滨江大道,5室2厅2卫,135㎡,南北,中层(共30层),2019年建造,10963元/㎡,148万,花园湾五房装修好没怎么住，直接拎包入住，带车位
桃江龙城,信丰站前大道信安路,3室2厅2卫,125.6㎡,南北,中层(共28层),2016年建造,7086元/㎡,89万,九小旁桃江龙城小区内三房带车位急售价仅89万，可看江景
桃江御景,信丰胜利路胜利路,3室2厅2卫,120㎡,东南,高层(共28层),2012年建造,6084元/㎡,73万,桃江御景精装三房73万急售拎包入住
游州苑B地块,信丰一清路北江源大道,5室2厅2卫,131㎡,南北,低层(共26层),2019年建造,8321元/㎡,109万,马鞍山花园湾旁五房使用面积150平带装修亏本急卖109万
豪景翡翠湾,信丰信安路滨江大道,4室2厅2卫,131㎡,南,高层(共31层),2018年建造,9542元/㎡,125万,翡翠湾4房两厅  楼层带两车位满两年125万
信丰金煌花园,信丰阳明北路山塘路2号,3室2厅2卫,121㎡,南北,低层(共18层),2009年建造,5042元/㎡,61万,低价急售房！金煌花园电梯三房可以改四房仅售61万，性价比高
龙城江山,信丰陈毅广场桃江东路,4室2厅2卫,142㎡,南北,低层(共28层),2017年建造,6198元/㎡,88万,龙城江山通透双阳台四房两厅两卫仅售88万，邻近九小
桃江龙城,信丰站前大道信安路,3室2厅2卫,123.36㎡,南,中层(共30层),2016年建造,6226元/㎡,76.8万,桃江龙城 15楼装修 123平方三房 急卖一口价76.8万
清华誉府,信丰站前大道站前大道,4室2厅2卫,130㎡,南,中层(共18层),2019年建造,6385元/㎡,83万,南边通透，二中五小旁边，清华誉府毛坯四房83万现房急卖
博大新城,信丰信丰迎宾大道迎宾大道,7室3厅4卫,280㎡,南,高层(共7层),2013年建造,5929元/㎡,166万,空中别墅豪华复试装修花了110万带红木家具166万出嫁
顺丰住宅楼,信丰陈毅广场建设路61号,2室2厅1卫,105㎡,南,中层(共6层),2010年建造,3505元/㎡,36.8万,城中心三小旁两房可改3房中间楼层105平方36.8万
爱地新城市花园,信丰阳明北路诚信大道,2室1厅1卫,68㎡,南,高层(共7层),2013年建造,5295元/㎡,36万,新城市花园小区精装修两房36万，拎包即住
桃江御景,信丰胜利路胜利路,4室2厅2卫,150.23㎡,南北,低层(共19层),2010年建造,5858元/㎡,88万,桃御景小区 江边4房 高升迁居外地 拎包入住
游州苑B地块,信丰一清路北江源大道,5室2厅2卫,131㎡,南,低层(共18层),2019年建造,7619元/㎡,99.8万,城南精装大五房，南北通透送全屋家居
盛汇铂金湾,信丰胜利路滨江大道,4室2厅2卫,128㎡,南北,中层(共30层),2023年建造,10000元/㎡,128万,铂金湾高档小区全线江景房4房2厅2卫报价128万包一半过户费
博大名城,信丰站前大道产业大道,3室2厅2卫,107㎡,南北,中层(共17层),2021年建造,5963元/㎡,63.8万,博大名城一期三房两厅两卫，户型通透，63.8万
盛汇铂金湾,信丰胜利路滨江大道,4室2厅2卫,132.7㎡,南北,高层(共32层),2023年建造,9028元/㎡,119.8万,铂金湾南北通透大四房，送7万车位
碧桂园圣塔天宸,信丰阳明北路迎宾大道,3室2厅2卫,118㎡,南北,高层(共16层),2022年建造,5594元/㎡,66万,碧桂园天辰电梯小洋房3房2厅2卫南北通透户型报价66万
嘉福未来城(信丰县),信丰站前大道产业大道,3室2厅2卫,112㎡,南北,高层(共28层),2021年建造,5697元/㎡,63.8万,嘉福未来城一期，契税满两年，63.8万
嘉福未来城(信丰县),信丰站前大道产业大道,4室2厅2卫,120㎡,南北,高层(共28层),2022年建造,5417元/㎡,65万,嘉福未来城现房，南北通透4房，总价65万，随时装修
观澜云府,信丰信安路滨江路,5室2厅3卫,175㎡,南北,中层(共32层),2020年建造,6846元/㎡,119.8万,观澜云府平层大五房，中间层，满两年，带车位119.8万
观澜云府,信丰信安路滨江路,4室2厅3卫,160㎡,南北,中层(共30层),2020年建造,5738元/㎡,91.8万,观澜云府复式楼，中间楼层，契税满两年，91.8万
盛汇花园湾3区,信丰一清路滨江大道,4室2厅3卫,158㎡,南北,低层(共24层),2021年建造,8545元/㎡,135万,盛汇花园湾一期大复式，使用面积230，视野无遮挡
豪景翡翠湾,信丰信安路滨江大道,4室2厅2卫,138㎡,南北,高层(共31层),2020年建造,9276元/㎡,128万,翡翠湾电梯高层四房，南北通透，带子母车位
盛汇花园湾1区,信丰一清路滨江大道,5室2厅2卫,170㎡,南北,中层(共33层),2021年建造,7942元/㎡,135万,盛汇花园湾全新精装修五房，未入住过！135万
