小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
鹭江新城,站北五洲大道五洲大道20号,4室2厅2卫,142㎡,南,低层(共6层),2012年建造,8662元/㎡,123万,好房推荐！江边小区 标准四房  带车位 拎包入住广告
恒大名都,站北五洲大道京九路161号,3室2厅1卫,106㎡,南,低层(共33层),2020年建造,10661元/㎡,113万,笋盘来袭 捡漏了 赣州市火车站 恒大名都通透精装3房 急售
江湾壹号,站北站前路逸豪大道9号,2室2厅1卫,66㎡,北,中层(共30层),2015年建造,9243元/㎡,61万,火车站看江景两房，装修一半未住过，住宅性质
章江龙鑫华城(3-12栋),站北五洲大道站前大道,4室2厅2卫,146㎡,南北,低层(共12层),2010年建造,10822元/㎡,158万,送  百米露台 全新精装 4房2厅2卫 火车站旁 龙鑫华城
鹭江新城,站北五洲大道五洲大道20号,3室2厅1卫,130㎡,南北,低层(共16层),2010年建造,8308元/㎡,108万,鹭江新城高绿化低密度环境优美，户型方正前后双阳台，停车方便
居安青春无限,站北五洲大道八一四大道,3室2厅1卫,95㎡,南北,中层(共6层),2015年建造,8948元/㎡,85万,恒大旁，厚德XX正规3房中层，小区停车方便，管理好，配套完善
五洲花苑,站北五洲大道五洲大道1号,3室2厅1卫,80㎡,南北,中层(共10层),2008年建造,8125元/㎡,65万,两房的价格，三房的享受 ，全新装修，配套齐全，电梯房
滨江相府,站北站前路逸豪大道3号,3室2厅3卫,105㎡,南北,中层(共11层),2010年建造,10000元/㎡,105万,房东急售带车位一线江景复式三房
锦辉佳苑,站北五洲大道五洲大道9号,3室2厅1卫,107㎡,南北,高层(共11层),2010年建造,8972元/㎡,96万,火车站旁电梯大3房凤凰楼层 小区好停车 采光好
广贸中心商厦,站北五洲大道康定路1号,3室2厅2卫,150㎡,南北,高层(共6层),1998年建造,4400元/㎡,66万,大露台复式结构，价格  ，三房三阳台，南北通透，前后无挡
五洲花苑,站北五洲大道五洲大道1号,3室2厅1卫,120㎡,南北,高层(共13层),2008年建造,5834元/㎡,70万,好房推荐，火车站旁电梯三房凤凰楼层，厚德路XX，停车方便
恒大名都,站北五洲大道京九路161号,3室2厅2卫,122㎡,南北,高层(共33层),2018年建造,11066元/㎡,135万,一线江景，不靠高架，恒大名都电梯三房边套，全新装修从未入住
江湾壹号,站北站前路逸豪大道9号,1室1厅1卫,32.81㎡,北,高层(共26层),2019年建造,8778元/㎡,28.8万,站北江边小区精装一室一厅70年产权住宅式公寓有阳台物业好停车
